=== STATISTIK ZU DEN GLEICHUNGEN ===

Gleichungen der Form: ax + b + cx = ex + f
Gesamtzahl der gefundenen Gleichungen: 30240
Mögliche Kombinationen insgesamt: 15120
Verwendeter Anteil: 200.0%

Anzahl der Gleichungen pro Kategorie:
- allgemeingültig: 0 (0.0%)
- keine Lösung: 1344 (4.44%)
- natürliche Zahl: 3538 (11.7%)
- negative ganze Zahl: 3538 (11.7%)
- negative nicht-ganzzahlige Zahl: 10910 (36.08%)
- positive nicht-ganzzahlige Zahl: 10910 (36.08%)

Zusammenfassung:
- Ganzzahlige Lösungen: 7076 (23.4%)
- Nicht-ganzzahlige Lösungen: 21820 (72.16%)
- Keine Lösung: 1344 (4.44%)
- Allgemeingültig: 0 (0.0%)

=== DETAILLIERTE AUFLISTUNG DER GLEICHUNGEN ===

Kategorie: allgemeingültig
Anzahl der Gleichungen: 0


--------------------------------------------------------------------------------

Kategorie: keine Lösung
Anzahl der Gleichungen: 1344

  1x + 0 + 2x = 3x + 4, keine Lösung
  1x + 0 + 3x = 4x + 2, keine Lösung
  1x + 2 + 3x = 4x + 0, keine Lösung
  1x + 4 + 2x = 3x + 0, keine Lösung
  2x + 0 + 1x = 3x + 4, keine Lösung
  2x + 4 + 1x = 3x + 0, keine Lösung
  3x + 0 + 1x = 4x + 2, keine Lösung
  3x + 2 + 1x = 4x + 0, keine Lösung
  1x + 0 + 2x = 3x + 5, keine Lösung
  1x + 5 + 2x = 3x + 0, keine Lösung
  2x + 0 + 1x = 3x + 5, keine Lösung
  2x + 0 + 3x = 5x + 1, keine Lösung
  2x + 1 + 3x = 5x + 0, keine Lösung
  2x + 5 + 1x = 3x + 0, keine Lösung
  3x + 0 + 2x = 5x + 1, keine Lösung
  3x + 1 + 2x = 5x + 0, keine Lösung
  1x + 0 + 2x = 3x + 6, keine Lösung
  1x + 6 + 2x = 3x + 0, keine Lösung
  2x + 0 + 1x = 3x + 6, keine Lösung
  2x + 6 + 1x = 3x + 0, keine Lösung
  1x + 0 + 2x = 3x + 7, keine Lösung
  1x + 7 + 2x = 3x + 0, keine Lösung
  2x + 0 + 1x = 3x + 7, keine Lösung
  2x + 7 + 1x = 3x + 0, keine Lösung
  1x + 0 + 2x = 3x + 8, keine Lösung
  1x + 8 + 2x = 3x + 0, keine Lösung
  2x + 0 + 1x = 3x + 8, keine Lösung
  2x + 8 + 1x = 3x + 0, keine Lösung
  1x + 0 + 2x = 3x + 9, keine Lösung
  1x + 9 + 2x = 3x + 0, keine Lösung
  2x + 0 + 1x = 3x + 9, keine Lösung
  2x + 9 + 1x = 3x + 0, keine Lösung
  1x + 0 + 4x = 5x + 2, keine Lösung
  1x + 2 + 4x = 5x + 0, keine Lösung
  4x + 0 + 1x = 5x + 2, keine Lösung
  4x + 2 + 1x = 5x + 0, keine Lösung
  2x + 0 + 4x = 6x + 1, keine Lösung
  2x + 1 + 4x = 6x + 0, keine Lösung
  4x + 0 + 2x = 6x + 1, keine Lösung
  4x + 1 + 2x = 6x + 0, keine Lösung
  1x + 0 + 5x = 6x + 2, keine Lösung
  1x + 2 + 5x = 6x + 0, keine Lösung
  5x + 0 + 1x = 6x + 2, keine Lösung
  5x + 2 + 1x = 6x + 0, keine Lösung
  2x + 0 + 5x = 7x + 1, keine Lösung
  2x + 1 + 5x = 7x + 0, keine Lösung
  5x + 0 + 2x = 7x + 1, keine Lösung
  5x + 1 + 2x = 7x + 0, keine Lösung
  1x + 0 + 6x = 7x + 2, keine Lösung
  1x + 2 + 6x = 7x + 0, keine Lösung
  6x + 0 + 1x = 7x + 2, keine Lösung
  6x + 2 + 1x = 7x + 0, keine Lösung
  2x + 0 + 6x = 8x + 1, keine Lösung
  2x + 1 + 6x = 8x + 0, keine Lösung
  6x + 0 + 2x = 8x + 1, keine Lösung
  6x + 1 + 2x = 8x + 0, keine Lösung
  1x + 0 + 7x = 8x + 2, keine Lösung
  1x + 2 + 7x = 8x + 0, keine Lösung
  7x + 0 + 1x = 8x + 2, keine Lösung
  7x + 2 + 1x = 8x + 0, keine Lösung
  2x + 0 + 7x = 9x + 1, keine Lösung
  2x + 1 + 7x = 9x + 0, keine Lösung
  7x + 0 + 2x = 9x + 1, keine Lösung
  7x + 1 + 2x = 9x + 0, keine Lösung
  1x + 0 + 8x = 9x + 2, keine Lösung
  1x + 2 + 8x = 9x + 0, keine Lösung
  8x + 0 + 1x = 9x + 2, keine Lösung
  8x + 2 + 1x = 9x + 0, keine Lösung
  1x + 0 + 3x = 4x + 5, keine Lösung
  1x + 0 + 4x = 5x + 3, keine Lösung
  1x + 3 + 4x = 5x + 0, keine Lösung
  1x + 5 + 3x = 4x + 0, keine Lösung
  3x + 0 + 1x = 4x + 5, keine Lösung
  3x + 5 + 1x = 4x + 0, keine Lösung
  4x + 0 + 1x = 5x + 3, keine Lösung
  4x + 3 + 1x = 5x + 0, keine Lösung
  1x + 0 + 3x = 4x + 6, keine Lösung
  1x + 6 + 3x = 4x + 0, keine Lösung
  3x + 0 + 1x = 4x + 6, keine Lösung
  3x + 6 + 1x = 4x + 0, keine Lösung
  1x + 0 + 3x = 4x + 7, keine Lösung
  1x + 7 + 3x = 4x + 0, keine Lösung
  3x + 0 + 1x = 4x + 7, keine Lösung
  3x + 0 + 4x = 7x + 1, keine Lösung
  3x + 1 + 4x = 7x + 0, keine Lösung
  3x + 7 + 1x = 4x + 0, keine Lösung
  4x + 0 + 3x = 7x + 1, keine Lösung
  4x + 1 + 3x = 7x + 0, keine Lösung
  1x + 0 + 3x = 4x + 8, keine Lösung
  1x + 8 + 3x = 4x + 0, keine Lösung
  3x + 0 + 1x = 4x + 8, keine Lösung
  3x + 8 + 1x = 4x + 0, keine Lösung
