PDF;Seite;Leitidee;Stufe;Begriff;Exakt;Flexion;Kompositum;Wortteil;Anzahl_Gesamt;Score_Gewichtet
Mathwelt 2 Themenbuch Sem 1.pdf;2;Geschlechter und Gleichstellung;Stufe 1;Arbeit;0;0;0;1;1;0.1
Mathwelt 2 Themenbuch Sem 1.pdf;2;Geschlechter und Gleichstellung;Stufe 2;Arbeit;0;0;0;1;1;0.1
Mathwelt 2 Themenbuch Sem 1.pdf;2;Geschlechter und Gleichstellung;Stufe 1;Mann;0;0;1;0;1;0.5
Mathwelt 2 Themenbuch Sem 1.pdf;2;Geschlechter und Gleichstellung;Stufe 1;Partner;1;0;1;0;2;1.5
Mathwelt 2 Themenbuch Sem 1.pdf;2;Geschlechter und Gleichstellung;Stufe 1;Person;0;0;0;1;1;0.1
Mathwelt 2 Themenbuch Sem 1.pdf;2;Geschlechter und Gleichstellung;Stufe 2;Recht;0;0;0;2;2;0.2
Mathwelt 2 Themenbuch Sem 1.pdf;2;Gesundheit;Stufe 2;Beratung;0;0;1;0;1;0.5
Mathwelt 2 Themenbuch Sem 1.pdf;2;Globale Entwicklung und Frieden;Stufe 2;Entwicklung;0;0;1;1;2;0.6
Mathwelt 2 Themenbuch Sem 1.pdf;2;Globale Entwicklung und Frieden;Stufe 1;Unterstützung;0;0;1;0;1;0.5
Mathwelt 2 Themenbuch Sem 1.pdf;2;Globale Entwicklung und Frieden;Stufe 1;Welt;0;0;1;0;1;0.5
Mathwelt 2 Themenbuch Sem 1.pdf;2;Kulturelle Identitäten und interkulturelle Verständigung;Stufe 1;Art;1;0;1;2;4;1.7
Mathwelt 2 Themenbuch Sem 1.pdf;2;Kulturelle Identitäten und interkulturelle Verständigung;Stufe 2;Werte;0;0;1;0;1;0.6
Mathwelt 2 Themenbuch Sem 1.pdf;2;Natürliche Umwelt und Ressourcen;Stufe 2;Arten;0;1;0;0;1;0.75
Mathwelt 2 Themenbuch Sem 1.pdf;2;Natürliche Umwelt und Ressourcen;Stufe 1;Berg;0;0;1;0;1;0.5
Mathwelt 2 Themenbuch Sem 1.pdf;2;Natürliche Umwelt und Ressourcen;Stufe 1;Erde;0;0;0;1;1;0.1
Mathwelt 2 Themenbuch Sem 1.pdf;2;Natürliche Umwelt und Ressourcen;Stufe 2;Material;0;0;1;1;2;0.6
Mathwelt 2 Themenbuch Sem 1.pdf;2;Politik, Demokratie und Menschenrechte;Stufe 2;Gesetz;0;0;1;0;1;0.5
Mathwelt 2 Themenbuch Sem 1.pdf;2;Politik, Demokratie und Menschenrechte;Stufe 1;Recht;0;0;0;2;2;0.2
Mathwelt 2 Themenbuch Sem 1.pdf;2;Politik, Demokratie und Menschenrechte;Stufe 2;Rechte;0;0;0;2;2;0.2
Mathwelt 2 Themenbuch Sem 1.pdf;2;Politik, Demokratie und Menschenrechte;Stufe 1;Wert;0;0;0;1;1;0.1
Mathwelt 2 Themenbuch Sem 1.pdf;2;Wirtschaft und Konsum;Stufe 1;Arbeit;0;0;0;1;1;0.1
Mathwelt 2 Themenbuch Sem 1.pdf;2;Wirtschaft und Konsum;Stufe 2;Hersteller;0;0;0;1;1;0.1
Mathwelt 2 Themenbuch Sem 1.pdf;3;Geschlechter und Gleichstellung;Stufe 2;Anteil;0;0;0;1;1;0.1
Mathwelt 2 Themenbuch Sem 1.pdf;3;Geschlechter und Gleichstellung;Stufe 1;Arbeit;0;0;0;2;2;0.2
Mathwelt 2 Themenbuch Sem 1.pdf;3;Geschlechter und Gleichstellung;Stufe 2;Arbeit;0;0;0;2;2;0.2
Mathwelt 2 Themenbuch Sem 1.pdf;3;Gesundheit;Stufe 1;Körper;0;0;1;0;1;0.5
Mathwelt 2 Themenbuch Sem 1.pdf;3;Globale Entwicklung und Frieden;Stufe 1;Welt;0;0;1;0;1;0.5
