PDF,Seite,Leitidee,Stufe,Begriff,Exakt,Flexion,Kompositum,Wortteil,Anzahl_Gesamt,Score_Gewichtet
84000_mb1_sb_Livebook_211019.pdf,1,Wirtschaft und Konsum,Stufe 2,Kunde,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,3,Gesundheit,Stufe 1,Alter,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,3,Globale Entwicklung und Frieden,Stufe 1,Land,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,3,Natürliche Umwelt und Ressourcen,Stufe 2,Landschaft,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,3,Wirtschaft und Konsum,Stufe 2,Kunde,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,4,Geschlechter und Gleichstellung,Stufe 1,Arbeit,0,0,4,3,7,2.4
84000_mb1_sb_Livebook_211019.pdf,4,Geschlechter und Gleichstellung,Stufe 2,Arbeit,0,0,4,3,7,2.4
84000_mb1_sb_Livebook_211019.pdf,4,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,4,Geschlechter und Gleichstellung,Stufe 2,Beruf,1,1,0,0,2,1.75
84000_mb1_sb_Livebook_211019.pdf,4,Geschlechter und Gleichstellung,Stufe 2,Lohn,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,4,Geschlechter und Gleichstellung,Stufe 1,Mann,0,1,0,0,1,0.75
84000_mb1_sb_Livebook_211019.pdf,4,Gesundheit,Stufe 1,Essen,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,4,Globale Entwicklung und Frieden,Stufe 1,Gemeinschaft,0,0,2,0,2,1.0
84000_mb1_sb_Livebook_211019.pdf,4,Globale Entwicklung und Frieden,Stufe 1,Handel,0,0,1,0,1,0.6
84000_mb1_sb_Livebook_211019.pdf,4,Globale Entwicklung und Frieden,Stufe 2,Handel,0,0,1,0,1,0.6
84000_mb1_sb_Livebook_211019.pdf,4,Globale Entwicklung und Frieden,Stufe 1,Hilfe,1,0,1,0,2,1.5
84000_mb1_sb_Livebook_211019.pdf,4,Globale Entwicklung und Frieden,Stufe 1,Unterstützung,1,0,1,0,2,1.5
84000_mb1_sb_Livebook_211019.pdf,4,Globale Entwicklung und Frieden,Stufe 1,Welt,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,4,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Begegnung,0,0,2,0,2,1.0
84000_mb1_sb_Livebook_211019.pdf,4,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,0,0,1,0,1,0.5
