Datensatz: 2000 Packungen
Theoretischer Mittelwert;1010 g
Theoretische Standardabweichung;5 g

=== Kenngroessen ===
Kenngrösse;Wert
Berechneter Mittelwert;1010.1003 g
Median;1010.0875 g
Berechnete Standardabweichung;4.9662 g
Q1 (25%);1006.8990 g
Q3 (75%);1013.4138 g
Minimum;993.8484 g
Maximum;1026.8369 g
Spannweite;32.9884 g
IQR (Q3-Q1);6.5148 g

=== Histogramm Intervallgroesse 0.5g ===
Intervallmitte (g);Anzahl
994.0;1
994.5;1
995.5;1
996.0;1
996.5;2
997.0;2
997.5;5
998.0;9
998.5;7
999.0;4
999.5;7
1000.0;13
1000.5;11
1001.0;16
1001.5;25
1002.0;22
1002.5;24
1003.0;25
1003.5;28
1004.0;41
1004.5;43
1005.0;32
1005.5;52
1006.0;57
1006.5;52
1007.0;65
1007.5;77
1008.0;78
1008.5;80
1009.0;87
1009.5;76
1010.0;71
1010.5;74
1011.0;87
1011.5;66
1012.0;87
1012.5;73
1013.0;74
1013.5;63
1014.0;49
1014.5;56
1015.0;46
1015.5;58
1016.0;47
1016.5;29
1017.0;31
1017.5;34
1018.0;27
1018.5;16
1019.0;9
1019.5;7
1020.0;13
1020.5;7
1021.0;9
1021.5;4
1022.0;3
1022.5;3
1023.0;3
1023.5;3
1024.0;2
1024.5;2
1025.0;2
1027.0;1

=== Histogramm Intervallgroesse 1g ===
Intervallmitte (g);Anzahl
994.0;2
995.0;1
996.0;2
997.0;3
998.0;18
999.0;11
1000.0;20
1001.0;32
1002.0;53
1003.0;46
1004.0;80
1005.0;83
1006.0;105
1007.0;127
1008.0;158
1009.0;168
1010.0;148
1011.0;154
1012.0;155
1013.0;144
1014.0;109
1015.0;105
1016.0;85
1017.0;61
1018.0;54
1019.0;20
1020.0;20
1021.0;15
1022.0;5
1023.0;6
1024.0;7
1025.0;2
1027.0;1

=== Histogramm Intervallgroesse 2g ===
Intervallmitte (g);Anzahl
994.0;2
996.0;6
998.0;23
1000.0;43
1002.0;89
1004.0;142
1006.0;205
1008.0;317
1010.0;312
1012.0;299
1014.0;236
1016.0;166
1018.0;96
1020.0;36
1022.0;18
1024.0;8
1026.0;2

=== Histogramm Intervallgroesse 5g ===
Intervallmitte (g);Anzahl
995.0;8
1000.0;134
1005.0;441
1010.0;783
1015.0;504
1020.0;114
1025.0;16

=== Rohdaten (alle 2000 Gewichte in g) ===
Nr;Gewicht (g)
1;1011.9756
2;1010.6723
3;1009.1704
4;1005.6208
5;1004.1171
6;1012.6475
7;1009.9748
8;1009.1227
9;1002.7842
10;1004.7721
11;996.3297
12;1013.5469
13;1001.6660
14;1016.6239
15;1009.0947
16;1010.5697
17;1020.6219
18;1002.8059
19;1005.6155
20;1007.2831
21;1009.5859
22;1003.7257
23;1016.1472
24;1017.7953
25;1015.4953
26;1006.6329
27;1010.5070
28;1004.4794
29;1011.7637
30;1020.8473
31;1013.2949
32;1010.8277
33;1011.6429
34;1017.0099
35;1015.7576
36;1011.2394
37;1010.9658
38;1013.9466
39;1008.3111
40;997.5220
41;1011.5334
42;1013.3410
43;1010.3882
44;1006.6706
45;1013.0081
46;1008.9690
47;1006.0729
48;1017.0098
49;1001.6786
50;1016.4328
51;1011.7634
52;1012.8065
53;1001.6338
54;1009.0407
55;1010.1570
56;1008.2788
57;1009.3982
58;1009.7695
59;1011.5260
60;1010.2924
61;1009.4062
62;1010.6229
63;1016.9190
64;1002.2212
65;1010.9710
66;1007.9505
67;1009.5862
68;1019.9132
69;1013.2679
70;1008.5607
71;1008.1154
72;1005.7527
73;1005.4316
74;1004.1675
75;1007.3855
76;1013.2521
77;1003.1392
78;1010.9710
79;1008.1764
